pair,participant,round,target,first_cue,fas_tcfirst,bas_tcfirst,first_response,fas_crfirst,bas_crfirst,second_cue,fas_tcsecond,bas_tcsecond,second_response,fas_crsecond,bas_crsecond,third_cue,fas_tcthird,bas_tcthird,third_response,fas_crthird,bas_crthird,fourth_cue,fas_tcfourth,bas_tcfourth,fourth_response,fas_crfourth,bas_crfourth,fifth_cue,fas_tcfifth,bas_tcfifth,fifth_response,fas_crfifth,bas_crfifth,condition,language,ideas_whatexperimentabout,comments,version,country,
C,6,14,cob,corn,,,kernel,,,small,,,maize,,,shoes,,,cob,,,,,,,,,,,,,,,face,English,,,2,,
C,5,15,cod,cape,,,cod,,,,,,,,,,,,,,,,,,,,,,,,,,,face,English,,,2,,
C,6,16,butcher,meats,,,butcher,,,,,,,,,,,,,,,,,,,,,,,,,,,face,English,,,2,,
C,5,17,affection,love,,,affection,,,,,,,,,,,,,,,,,,,,,,,,,,,face,English,,,2,,
C,6,18,steed,horse,,,foal,,,transportation,na,na,steed,na,na,na,,,,,,,,,,,,,,,,,,face,English,,,2,,
C,5,19,crossword,puzzle,,,jigsaw,,,clues,,,riddle,,,writing,,,crossword,,,,,,,,,,,,,,,face,English,,,2,,
C,6,20,grater,cheese,,,cheddar,,,nutmeg,,,grater,,,,,,,,,,,,,,,,,,,,,face,English,,,2,,
D,7,1,pepperoni,salami,,,pepperoni,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,English,,,2,UK(England),
D,8,2,crescent,moon,,,crescent,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,English,,,2,India,
D,7,3,yolk,egg,,,omelette,,,yellow,,,yolk,,,,,,,,,,,,,,,,,,,,,non-face,English,,,2,,
D,8,4,retina,eye,,,pupil,,,lens,na,na,retina,na,na,,,,,,,,,,,,,,,,,,,non-face,English,,,2,,
D,7,5,bouquet,flower,,,roses,,,arrangement,,,bouquet,,,,,,,,,,,,,,,,,,,,,non-face,English,,,2,,
D,8,6,loaf,bread,,,loaf,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,English,,,2,,
D,7,7,blaze,fire,,,combustion,,,wildfire,0.01,na,blaze,na,0.01,,,,,,,,,,,,,,,,,,,non-face,English,,,2,,
D,8,8,sill,window,,,glass,,,frame,,,sill,,,,,,,,,,,,,,,,,,,,,non-face,English,,,2,,
D,7,9,acquaintance,friend,,,acquaintance,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,English,,,2,,
D,8,10,bank,money,,,cash,,,building,na,na,bank,na,na,,,,,,,,,,,,,,,,,,,non-face,English,,,2,,
D,7,11,bulb,light,,,illumination,,,electric,0.01,0.02,bulb,,,,,,,,,,,,,,,,,,,,,non-face,English,,,2,,
D,8,12,brewery,beer,,,brewery,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,English,,,2,,
