"","target","cue","results_forward","results_backward"
"17827","Schirm","Wind",0.0306513409961686,NA
"17828","Schirm","Sonnenschirm",0.0229885057471264,NA
"17829","Schirm","Bildschirm",0.0153256704980843,NA
"17830","Schirm","kalt",0.0153256704980843,NA
"17831","Schirm","Rettungsschirm",0.0114942528735632,NA
"17832","Schirm","trocken",0.0114942528735632,NA
"17833","Schirm","schützen",0.0114942528735632,NA
"17834","Schirm","Schirmständer",0.0114942528735632,NA
"17835","Schirm","Strand",0.00766283524904215,NA
"17836","Schirm","Knirps",0.00766283524904215,NA
"17837","Schirm","Charm",0.00766283524904215,NA
"17838","Schirm","rund",0.00766283524904215,NA
"17839","Schirm","aufklappen",0.00766283524904215,NA
"17840","Schirm","prasseln",0.00766283524904215,NA
"17841","Schirm","vergessen",0.00766283524904215,NA
"17842","Schirm","draußen",0.00766283524904215,NA
"17843","Schirm","halten",0.00383141762452107,NA
"17844","Schirm","Frost",0.00383141762452107,NA
"17845","Schirm","spannen",0.00383141762452107,NA
"17846","Schirm","Kappe",0.00383141762452107,NA
"17847","Schirm","abschirmen",0.00383141762452107,NA
"17848","Schirm","Tief",0.00383141762452107,NA
"17849","Schirm","Euro",0.00383141762452107,NA
"17850","Schirm","Stiel",0.00383141762452107,NA
"17851","Schirm","sonnen",0.00383141762452107,NA
"17852","Schirm","Wolken",0.00383141762452107,NA
"17853","Schirm","Automatik",0.00383141762452107,NA
"17854","Schirm","Gummistiefel",0.00383141762452107,NA
"17855","Schirm","Dach",0.00383141762452107,NA
"17856","Schirm","Meer",0.00383141762452107,NA
"17857","Schirm","Abweher",0.00383141762452107,NA
"17858","Schirm","Nässe",0.00383141762452107,NA
"17859","Schirm","Metall",0.00383141762452107,NA
"17860","Schirm","leicht",0.00383141762452107,NA
"17861","Schirm","Regenmantel",0.00383141762452107,0.0337078651685393
"17862","Schirm","klappen",0.00383141762452107,NA
"17863","Schirm","Auto",0.00383141762452107,NA
"17864","Schirm","Niederschlag",0.00383141762452107,NA
