"","pair","participant","round","target","first_cue","fas_tcfirst","bas_tcfirst","first_response","fas_crfirst","bas_crfirst","second_cue","fas_tcsecond","bas_tcsecond","second_response","fas_crsecond","bas_crsecond","third_cue","fas_tcthird","bas_tcthird","third_response","fas_crthird","bas_crthird","fourth_cue","fas_tcfourth","bas_tcfourth","fourth_response","fas_crfourth","bas_crfourth","fifth_cue","fas_tcfifth","bas_tcfifth","fifth_response","fas_crfifth","bas_crfifth","condition","language","ideas_whatexperimentabout","comments","version","country"
"78","D",8,18,"Rüstung","Ritter",0.29109589,"0.190972222","Rüstung",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,NA,2,NA
"79","D",7,19,"Dach","Schutz",0.09,NA,"Dach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,NA,2,NA
"80","D",8,20,"Gebiss","Alter",0.010204082,NA,"Gebiss",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"face","German",NA,NA,2,NA
"81","E",9,1,"Pilz","Wald",0.224199288,NA,"Baum",NA,NA,"giftig",0.149466192,NA,"Pilz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-face","German","#communication, finding language when you cannot see your vis-à-vis","#Baum not on guesser's list!",2,NA
"82","E",10,2,"Radio","Musik",0.51,NA,"Radio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-face","German","#word formation/-etymology",NA,2,NA
"83","E",9,3,"Axt","fällen",0.041237113,NA,"Axt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-face","German",NA,NA,2,NA
"84","E",10,4,"Hafen","Schiff",0.724489796,NA,"Hafen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-face","German",NA,NA,2,NA
"85","E",9,5,"Lehrerin","Schule",0.229965157,NA,"Lehrerin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-face","German",NA,NA,2,NA
"86","E",10,6,"Mauer","Mörtel",0.017123288,NA,"Statue",NA,NA,"Steine",NA,NA,"Mauer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-face","German",NA,NA,2,NA
"87","E",9,7,"Hammer","Nagel",0.287162162,NA,"Hammer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-face","German",NA,NA,2,NA
"88","E",10,8,"Lilie","Blume",0.62244898,"0.01010101","Blüte",NA,NA,"orange",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-face","German",NA,"#sig: ""orange, beispielsweise"" as 2nd cue",2,NA
"89","E",9,9,"Krone","König",0.793814433,"0.257731959","Krone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-face","German",NA,NA,2,NA
"90","E",10,10,"Kamm","Haare",0.020408163,"0.030612245","Schirm",NA,NA,"Zacken",0.030612245,NA,"Kamm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-face","German",NA,"#guesser was at wrong round and said ""Schirm"" as first response… mabye first one would have been correct otherwise?",2,NA
"91","E",9,11,"Paddel","Boot",0.63,"0.010309278","Paddel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-face","German",NA,NA,2,NA
"92","E",10,12,"Schirm","Regen",0.283524904,"0.050847458","Schirm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-face","German",NA,NA,2,NA
"93","E",9,13,"Brücke","Bogen",0.006944444,"0.003802281","Brücke",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-face","German",NA,NA,2,NA
"94","E",10,14,"Knochen","Skelett",0.125874126,NA,"Knochen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-face","German",NA,NA,2,NA
"95","E",9,15,"Butter","Brot",0.202702703,"0.104377104","Bäcker",NA,NA,"streichen",0.043918919,NA,"Butter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-face","German",NA,NA,2,NA
