pair,participant,round,target,first_cue,fas_tcfirst,bas_tcfirst,first_response,fas_crfirst,bas_crfirst,second_cue,fas_tcsecond,bas_tcsecond,second_response,fas_crsecond,bas_crsecond,third_cue,fas_tcthird,bas_tcthird,third_response,fas_crthird,bas_crthird,fourth_cue,fas_tcfourth,bas_tcfourth,fourth_response,fas_crfourth,bas_crfourth,fifth_cue,fas_tcfifth,bas_tcfifth,fifth_response,fas_crfifth,bas_crfifth,condition,language,ideas_whatexperimentabout,comments,version,country
E,10,10,Kamm,Haare,,,Schirm,,,Zacken,,,Kamm,,,,,,,,,,,,,,,,,,,,,non-face,German,,"#guesser was at wrong round and said ""Schirm"" as first response… mabye first one would have been correct otherwise?",2,
E,9,11,Paddel,Boot,,,Paddel,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,German,,,2,
E,10,12,Schirm,Regen,,,Schirm,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,German,,,2,
E,9,13,Brücke,Bogen,,,Brücke,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,German,,,2,
E,10,14,Knochen,Skelett,,,Knochen,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,German,,,2,
E,9,15,Butter,Brot,,,Bäcker,,,streichen,,,Butter,,,,,,,,,,,,,,,,,,,,,non-face,German,,,2,
E,10,16,Feder,Vogel,,,Feder,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,German,,,2,
E,9,17,Brunnen,Fontäne,,,Brunnen,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,German,,#Fontäne also on list,2,
E,10,18,Rüstung,Ritter,,,Rüstung,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,German,,"#sig: ""Rüs.. Äh, Ritter!""",2,
E,9,19,Dach,Ziegel,,,Dach,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,German,,,2,
E,10,20,Gebiss,Opa,,,Gebiss,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,German,,,2,
F,11,1,Pilz,Wald,,,Jäger,,,fliegen,,,Pilz,,,,,,,,,,,,,,,,,,,,,non-face,German,,,2,
F,12,2,Radio,Moderator,,,Mikrophon,,,Rundfunk,,,Radio,,,,,,,,,,,,,,,,,,,,,non-face,German,,"#""laut, aso ne sorry, Moderator?"" as 1st cue",2,
F,11,3,Axt,Handwerker,,,Axt,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,German,,,2,
F,12,4,Hafen,Einfahrt,,,Hafen,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,German,,,2,
F,11,5,Lehrerin,Anleiterin,,,Lehrerin,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,German,,,2,
F,12,6,Mauer,Ziegeln,,,Mauer,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,German,,,2,
F,11,7,Hammer,Nagel,,,Hammer,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,German,,,2,
F,12,8,Lilie,Blume,,,Rose,,,Beet,,,Tulpe,,,orange,,,Blüte,,,Garten,,,Gießkanne,,,weiß,Lilie,,,,,non-face,German,,"sig: ""dann die andere Farbe die es gibt, weiß"" (probably didn't influence results because 5th cue, so only final option left)",2,
F,11,9,Krone,König,,,Thron,,,Kopf,,,Krone,,,,,,,,,,,,,,,,,,,,,non-face,German,,,2,
F,12,10,Kamm,Bürste,,,Kamm,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,German,,,2,
F,11,11,Paddel,Kajak,,,Paddel,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,German,,,2,
F,12,12,Schirm,Schutz,,,Schirm,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,German,,,2,
F,11,13,Brücke,Fluss,,,Wasser,,,Überquerung,,,Brücke,,,,,,,,,,,,,,,,,,,,,non-face,German,,,2,
F,12,14,Knochen,Skelett,,,Knochen,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,German,,,2,
F,11,15,Butter,Aufstrich,,,Butter,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,German,,,2,
F,12,16,Feder,Indianer,,,Feder,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,German,,,2,
F,11,17,Brunnen,Quelle,,,Brunnen,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,German,,,2,
F,12,18,Rüstung,Metall,,,Rüstung,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,German,,,2,
F,11,19,Dach,Haus,,,Dach,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,German,,,2,
F,12,20,Gebiss,Kiefer,,,Zahnarzt,,,Glas,,,Mund,,,Zähne,,,Gebiss,,,,,,,,,,,,,,,non-face,German,,,2,
G,13,1,Pilz,Champignon,,,Pilz,,,,,,,,,,,,,,,,,,,,,,,,,,,face,German,,,2,
G,14,2,Radio,hören,,,Radio,,,,,,,,,,,,,,,,,,,,,,,,,,,face,German,,,2,
G,13,3,Axt,holzfällen,,,Axt,,,,,,,,,,,,,,,,,,,,,,,,,,,face,German,,,2,
G,14,4,Hafen,Schiffe,,,Yacht,,,Wasser,,,Anker,,,Marine,,,Matrose,,,Hamburg,,,Hafen,,,,,,,,,face,German,,,2,
G,13,5,Lehrerin,unterrichten,,,Lehrerin,,,,,,,,,,,,,,,,,,,,,,,,,,,face,German,,,2,
G,14,6,Mauer,Begrenzung,,,Mauer,,,,,,,,,,,,,,,,,,,,,,,,,,,face,German,,,2,
